Z30_SUB_LIBRARY	Z30_COLLECTION	legacy_code	folio_code
MHLIB	MEACO	MHLIB MEACO	MEACO
MHLIB	MMNWB	MHLIB MMNWB	MMNWB
FCWWW	FCFRE	FCWWW FCFRE	FCFRE
FCWWW	FCDWS	FCWWW FCDWS	FCDWS
SCNLS	SN3RD	SCNLS SN3RD	SN3RD
SCNLS	SNCLA	SCNLS SNCLA	SNCLA
SCANN	SASTK	SCANN SASTK	SASTK
ACFST	AFRX	ACFST AFRX	AFRX
ACFST	AFRNX	ACFST AFRNX	AFRNX
ACFST	AFRXX	ACFST AFRXX	AFRXX
UMDUB	UMCVP	UMDUB UMCVP	TECHMIG
UMDUB	UMANX	UMDUB UMANX	TECHMIG
UMDUB	UCDEV	UMDUB UCDEV	TECHMIG
UMDUB	UCDEV	UMDUB UCDEV	TECHMIG
UMDML	UMDIG	UMDML UMDIG	UM Digital Media Lab
HCLIB	HNET	HCLIB HNET	TECHMIG
